,date,Name,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total attendances,Type 1 Departments - 4 hours to decision,Type 2 Departments - 4 hours to decision,Type 3 Departments - 4 hours to decision,Percentage in 4 hours or less (all),Emergency Admissions via Type 1 A&E in 4 hours,Emergency Admissions via Type 2 A&E in 4 hours,Emergency Admissions via Type 3 and 4 A&E in 4 hours,Other Emergency admissions (i.e not via A&E),Number of patients spending >12 hours from decision to admit to admission,month,year,lat,lon
27,2010-11-01,Bradford Teaching Hospitals NHS Foundation Trust,9332.0,0.0,1547.0,10879.0,380.0,0.0,0.0,3.860088911203503,2422.0,0.0,279.0,796.0,0.0,44.0,8040.0,53.79999999999998,-1.75
28,2010-11-01,Brighton And Sussex University Hospitals NHS Trust,10327.0,971.0,0.0,11298.0,567.0,0.0,0.0,3.800059287082821,2694.0,281.0,0.0,498.0,0.0,44.0,8040.0,51.89400000000001,-0.47399999999999987
29,2010-11-01,Bristol Primary Care Trust,0.0,0.0,3350.0,3350.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,51.449999999999996,-2.5833333300000003
30,2010-11-01,Bromley Primary Care Trust,0.0,0.0,4654.0,4654.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,51.407,0.021000000000000005
31,2010-11-01,Buckinghamshire Hospitals NHS Trust,8139.0,0.0,0.0,8139.0,187.0,0.0,0.0,3.908619842234836,1517.0,0.0,0.0,805.0,0.0,44.0,8040.0,51.8207,-0.8159999999999996
32,2010-11-01,Burton Hospitals NHS Foundation Trust,4470.0,0.0,0.0,4470.0,117.0,0.0,0.0,3.8952480334616535,1320.0,0.0,0.0,468.0,0.0,44.0,8040.0,51.87833333,-0.41472222
33,2010-11-01,Bury Primary Care Trust,0.0,0.0,5126.0,5126.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,52.060999999999964,-1.336
34,2010-11-01,Calderdale And Huddersfield NHS Foundation Trust,9938.0,0.0,0.0,9938.0,304.0,0.0,0.0,3.8787602761104982,2325.0,0.0,0.0,1052.0,0.0,44.0,8040.0,,
35,2010-11-01,Cambridge University Hospitals NHS Foundation Trust,7003.0,0.0,0.0,7003.0,227.0,0.0,0.0,3.872013367309723,2593.0,0.0,0.0,531.0,0.0,44.0,8040.0,52.20527777999998,0.11916666999999999
36,2010-11-01,Cambridgeshire Community Services NHS Trust,0.0,0.0,2205.0,2205.0,0.0,0.0,1.0,3.9981308411214953,0.0,0.0,0.0,0.0,0.0,44.0,8040.0,52.33333332999998,0.0
